Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,4.38,4.55,4.3,4.5,4.5,20011900
2016-01-04,4.44,4.97,4.4,4.95,4.95,38476100
2016-01-05,4.89,5.09,4.84,5.01,5.01,23666900
2016-01-06,4.77,4.88,4.6,4.68,4.68,24549200
2016-01-07,4.43,4.64,4.36,4.41,4.41,24150800
2016-01-08,4.44,4.53,4.26,4.44,4.44,28562000
2016-01-11,4.49,4.5,4.08,4.17,4.17,24801200
2016-01-12,4.27,4.28,3.75,4.05,4.05,26920000
2016-01-13,4.1,4.18,3.61,3.64,3.64,21532300
2016-01-14,3.61,3.82,3.56,3.71,3.71,28054200
2016-01-15,3.48,3.6,3.28,3.56,3.56,27331600
2016-01-19,3.58,3.61,2.95,3.08,3.08,26479400
2016-01-20,2.86,3.45,2.69,3.32,3.32,36875600
2016-01-21,3.25,3.66,3.17,3.55,3.55,24335400
2016-01-22,3.82,4.15,3.46,3.51,3.51,34642900
2016-01-25,3.27,3.6,2.95,2.95,2.95,26632200
2016-01-26,3.08,3.25,2.88,3.19,3.19,28005700
2016-01-27,3.22,3.63,3.17,3.28,3.28,28778400
2016-01-28,3.52,3.57,3.1,3.16,3.16,29659200
2016-01-29,3.19,3.46,3.16,3.39,3.39,25580300
2016-02-01,3.32,3.38,3.1,3.21,3.21,16936500
2016-02-02,3.12,3.14,2.99,2.99,2.99,17638100
2016-02-03,3.08,3.39,2.75,3.36,3.36,27600800
2016-02-04,3.4,3.65,3.19,3.26,3.26,39022900
2016-02-05,3.21,3.26,3.03,3.06,3.06,21391500
2016-02-08,2.56,2.59,1.5,2.04,2.04,121984600
2016-02-09,2.09,2.09,1.8,1.95,1.95,39012100
2016-02-10,1.99,2.01,1.63,1.7,1.7,32508000
2016-02-11,1.66,1.81,1.53,1.78,1.78,50804200
2016-02-12,1.86,1.89,1.56,1.59,1.59,49579200
2016-02-16,1.68,1.91,1.65,1.86,1.86,39305400
2016-02-17,1.94,1.99,1.85,1.88,1.88,35944000
2016-02-18,1.97,2.14,1.9,1.98,1.98,37277500
2016-02-19,1.94,2.03,1.9,2.0,2.0,20668000
2016-02-22,2.09,2.49,2.07,2.39,2.39,33909200
2016-02-23,2.53,2.71,2.16,2.19,2.19,49682200
2016-02-24,2.44,2.74,2.35,2.69,2.69,62165300
2016-02-25,2.64,2.9,2.5,2.56,2.56,39588800
2016-02-26,2.89,2.89,2.65,2.7,2.7,30763400
2016-02-29,2.82,2.82,2.53,2.61,2.61,44469300
2016-03-01,2.64,2.78,2.55,2.76,2.76,24109900
2016-03-02,2.62,3.75,2.6,3.4,3.4,76288000
2016-03-03,3.37,4.72,3.32,4.27,4.27,138279500
2016-03-04,4.59,5.43,4.3,5.08,5.08,188966400
2016-03-07,5.38,5.76,5.18,5.23,5.23,116687300
2016-03-08,5.05,5.06,4.1,4.3,4.3,65203200
2016-03-09,4.56,4.7,4.3,4.63,4.63,39907900
2016-03-10,4.62,4.74,4.35,4.61,4.61,42170800
2016-03-11,4.88,4.99,4.64,4.7,4.7,40426900
2016-03-14,4.42,4.5,4.27,4.38,4.38,39561000
